claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,OBE+GAI融合教学案例已设计并实施,教学设计+实施描述,文档审查,第1-5页,—,强(设计存在)
C02,OBE反向设计思路能倒推教学活动与评价,设计陈述,设计审查,第2-3页,无设计效度验证,中(设计存在)
C03,5项预期学习产出覆盖核心素养,产出设计,设计审查,第2-3页,—,中(设计存在)
C04,GAI作为工程顾问能辅助方案设计,3种GAI介入方式,设计陈述,第4-5页,无GAI输出记录,中(设计存在)
C05,实验班桥梁平均最大承重较对照班提升约32%,实验班vs对照班对比,对比分析,第5页,无原始数据、无统计检验、分组方式未报告,中(单次对比);弱(因果)
C06,学生GAI提示语质量明显改善,教师观察,教师观察,第5页,无评价标准、无量化,中(教师观察)
C07,学生出现更多创新方案(桁架桥/拱-桁架组合),教师观察,教师观察,第5页,无方案数量统计,中(教师观察)
C08,教师课堂巡视指导更具针对性,教师反思,教师反思,第6页,无工时数据,弱(教师反思)
C09,案例已在校内推广,推广描述,教师叙述,第6页,无推广验证,中(教师叙述);弱(未验证)
C10,案例可平移至其他结构设计课题,可推广设计,设计陈述,第6页,无复制验证,弱(未验证)
C11,学做评一体化评价机制改变单一打分模式,评价设计,设计陈述,第5页,无量规信效度,中(设计存在)
C12,构建了可复制的OBE+GAI教学范式,综合归纳,作者归纳,第6页,单校、无外部验证,中(存在性);弱(普适性)
